h,famous
1.3109447928466416e-11,0.0
1.184118354966911e-11,0.0
1.562370208646505e-11,1.0
1.6638442718983416e-11,1.0
1.0833011216101867e-11,0.0
1.5712505552638183e-11,0.0
2.47177653929977e-11,0.0
2.1266820342122367e-11,1.0
2.0257521677969344e-11,0.0
2.037804513263838e-11,0.0
2.3905827348099444e-11,0.0
1.4708512274435784e-11,0.0
0.0019368257498854444,1.0
4.596714491470326e-12,0.0
1.4462687466831926e-11,0.0
1.4463561076419241e-11,0.0
1.668150234873882e-11,0.0
1.585414211982294e-11,0.0
2.3746698833777076e-11,0.0
4.596714491470326e-12,0.0
1.3884064581150595e-11,0.0
2.0876088637319336e-11,0.0
2.3117695888198334e-11,0.0
1.3087816797657846e-11,0.0
1.4051619243483706e-11,0.0
4.344634163672422e-12,0.0
1.4966897683550745e-11,1.0
1.9822342396515796e-11,0.0
4.1547643380166664e-12,0.0
4.432214501748761e-12,1.0
1.4059284115525028e-11,0.0
2.212118904980176e-11,0.0
1.463266432700206e-11,0.0
1.5443553103782926e-11,0.0
1.7891633797167823e-11,1.0
4.596714491470326e-12,0.0
1.7544611740251395e-11,1.0
1.9190054558847596e-11,0.0
1.8440978733960717e-11,0.0
4.687370004989106e-12,0.0
1.510161490595614e-11,0.0
4.781673298691417e-12,0.0
4.687370004989106e-12,0.0
1.5999602876613704e-11,0.0
2.1359937593896568e-11,0.0
1.4407798809100687e-11,0.0
1.2598696326848047e-11,0.0
4.6411573096774e-11,1.0
1.5352688342555843e-11,0.0
1.7975622500927006e-11,0.0
1.3912504550036478e-11,0.0
2.7174265418519383e-11,1.0
2.1182917936505296e-11,0.0
1.509074202779288e-11,0.0
2.2456808476248422e-11,0.0
4.552689143842819e-12,0.0
4.781673298691417e-12,0.0
1.3492107876220107e-11,0.0
2.0135986727930523e-11,0.0
1.53610230584343e-11,0.0
1.9254443301056546e-11,0.0
1.4692010944793582e-11,0.0
4.257088449452446e-12,0.0
1.5020113322056895e-11,0.0
1.5094174134650294e-11,0.0
1.3359490013233813e-11,0.0
1.159871601786406e-11,0.0
