corr,precision,fairperception,wsd,wrd,h
0.9971242941156845,0.929510525650439,0.6631430584918957,0.0009301003206253642,7.64441695842513e-05,[0.59880173 0.73256324 0.53224316 ... 0.52556065 0.66421866 0.56666672]
0.9971234066798688,0.9295091707301854,0.6631430584918957,0.0009320570425083451,7.650493033332622e-05,[0.59804504 0.73208303 0.5315602  ... 0.52591881 0.6626932  0.56666671]
0.9971053916858659,0.9294887021909278,0.6596194503171248,0.000935744662955203,7.727131909636791e-05,[0.59680181 0.73130261 0.53044742 ... 0.52651319 0.66022047 0.5666667 ]
0.9970600278828862,0.929490833472412,0.6575052854122622,0.0009430475972845641,8.159537655522795e-05,[0.59474421 0.73003108 0.52863044 ... 0.52751094 0.65621416 0.56666668]
0.996948141044556,0.929239597225029,0.6575052854122622,0.000958211693515003,8.607954442439742e-05,[0.59130487 0.72796293 0.52565926 ... 0.52920919 0.64972557 0.56666665]
0.9960888809085136,0.9286864847566216,0.6546863988724454,0.0009909712890935436,0.00011884368321683791,[0.58547559 0.72458694 0.52080092 ... 0.53214329 0.63924589 0.5666666 ]
0.9912091904110436,0.9255751285568573,0.6441155743481325,0.0010630657158920555,0.0002664991099901196,[0.57506587 0.7190853  0.51291524 ... 0.53725636 0.62228    0.56666653]
0.975445922899729,0.914982015148011,0.6250880902043693,0.0012222758757731921,0.0006981880194672707,[0.55621422 0.71038599 0.5005366  ... 0.5459816  0.59493082 0.56666643]
0.9335272985866786,0.8876606221110349,0.5926708949964764,0.0015618164077131067,0.0018697856500457211,[0.51968356 0.696675   0.48263718 ... 0.55888954 0.56219603 0.56666634]
0.840500570717767,0.8220573946791979,0.5461592670894997,0.0021650993878140376,0.004456718974742003,[0.51384194 0.67712197 0.48231329 ... 0.57079492 0.5519326  0.56666633]
0.7497076116773205,0.7585446429973501,0.4996476391825229,0.0027019079066408856,0.008362531974356524,[0.53312934 0.63641755 0.48589961 ... 0.57413159 0.55100596 0.56666637]
0.7109690592852818,0.7296982096891644,0.4749823819591261,0.002925314514706463,0.01070553638516883,[0.55027275 0.57333872 0.48747865 ... 0.57597779 0.5554555  0.56666641]
0.6814150973811022,0.7072011113661077,0.452431289640592,0.003121063876555312,0.012958039547227063,[0.55793151 0.57123085 0.48849503 ... 0.57548021 0.56118649 0.56666644]
0.6564687661672864,0.6953400774980479,0.43481324876673716,0.003070404567170053,0.013318355621147334,[0.56545275 0.56921148 0.48879002 ... 0.57258407 0.56580117 0.56666648]
0.6288242648903138,0.6755185879593985,0.42212825933756165,0.0029560011412030087,0.01272578205207111,[0.56940032 0.56987842 0.48887079 ... 0.57017433 0.56922999 0.56666652]
0.6248011680335178,0.6717230765336328,0.43481324876673716,0.0028995578821895958,0.013335870077936969,[0.57131374 0.57159124 0.48888797 ... 0.57146941 0.57130965 0.56666659]
0.6153275415736491,0.6664641772467466,0.42353770260747003,0.00288341313143336,0.011211166576896107,[0.57220605 0.57229621 0.48889005 ... 0.57216963 0.57217676 0.56666665]
0.5887006022673857,0.6485418658846624,0.7674418604651163,0.002871287285957176,0.01597585220666143,[0.57269562 0.57269539 0.4888907  ... 0.57269544 0.57269539 0.56666657]
